entry	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)
sce:YPL111W	5	3	4
sce:YIL145C	2	1	2
sce:YDR058C	2	1	1
sce:YNR043W	3	3	2
sce:YLR308W	1	3	3
sce:YLR268W	9	6	1
sce:YNR007C	5	9	1
sce:YOL133W	7	20	4
sce:YLR025W	6	9	1
sce:YDR298C	5	2	1
sce:YGR292W	1	3	4
sce:YOR196C	1	2	3
sce:YHR094C	2	3	6
sce:YHR077C	3	4	1
sce:YLR459W	2	4	0
sce:YDL101C	1	3	4
sce:YKL216W	1	2	2
sce:YPL053C	3	5	2
sce:YLR158C	5	2	1
sce:YPL281C	1	1	2
sce:YLR157C	5	2	1
sce:YJL221C	1	3	3
sce:YCR039C	1	2	4
sce:YNR073C	0	1	2
sce:YLR160C	5	2	1
sce:YFL061W	0	1	2
sce:YJR105W	3	4	2
sce:YIL172C	1	3	3
sce:YIL172C	0	3	2
sce:YDL205C	2	3	1
sce:YFL045C	2	3	2
sce:YMR197C	8	13	2
sce:YIL008W	3	7	3
sce:YGR244C	3	3	3
sce:YBR145W	2	3	2
sce:YBL011W	2	2	3
sce:YOR241W	6	2	3
sce:YLR307W	1	3	3
sce:YAL061W	2	1	4
sce:YPL271W	5	2	1
sce:YDR499W	4	7	1
sce:YNL335W	0	1	2
sce:YNL335W	0	1	1
sce:YOR101W	4	3	4
sce:YBR004C	5	3	3
sce:YJL106W	2	6	4
sce:YLR332W	3	5	1
sce:YJL178C	10	6	1
sce:YDR305C	3	1	4
sce:YCL032W	1	6	2
sce:YJL167W	3	4	4
sce:YBR196C	3	3	3
sce:YPR019W	10	8	6
sce:YMR118C	2	2	4
sce:YJR009C	7	4	5
sce:YMR323W	2	1	2
sce:YGR287C	1	3	3
sce:YOR278W	1	3	1
sce:YDR110W	2	11	2
sce:YGL101W	2	1	3
sce:YDR310C	2	9	4
sce:YCL043C	4	6	3
sce:YDR466W	0	4	4
sce:YNL334C	2	3	2
sce:YDL179W	4	4	2
sce:YMR318C	0	3	4
sce:YDR158W	3	5	4
sce:YBR112C	2	7	5
sce:YPL166W	6	10	1
sce:YAR019C	4	6	4
sce:YML075C	5	4	1
sce:YKL055C	1	3	2
sce:YGR264C	4	2	2
sce:YGL219C	5	5	1
sce:YPL061W	2	4	3
sce:YKL018W	4	8	1
sce:Q0080	4	1	1
sce:YNL325C	4	3	1
sce:YNL053W	2	6	3
sce:YBR202W	11	9	6
sce:YIL099W	2	2	2
sce:YFL030W	3	1	2
sce:YPL194W	4	11	2
sce:YEL058W	2	4	2
sce:YIL062C	4	5	3
sce:YNL332W	0	2	2
sce:YCR034W	2	8	4
sce:YER069W	3	4	6
sce:YER026C	3	2	1
sce:YPR069C	3	2	1
sce:YLR345W	2	3	3
sce:YNL141W	2	5	2
sce:YGL240W	2	9	1
sce:YIR025W	2	12	1
sce:YHR144C	1	2	2
sce:YML022W	2	3	4
sce:YNR035C	4	8	4
sce:YOR393W	1	1	2
sce:YOR393W	1	1	2
sce:YHR188C	3	2	0
sce:YPR107C	3	3	2
sce:YAL039C	3	1	2
sce:YLR017W	3	3	2
sce:YBR182C	2	1	5
sce:YLR120C	3	4	1
sce:YJL071W	2	2	2
sce:YBR023C	11	4	1
sce:YGL067W	3	3	4
sce:YDL235C	2	3	3
sce:YDL006W	3	5	4
sce:YDR234W	1	1	3
sce:YMR120C	2	2	2
sce:YNL229C	1	4	3
sce:YER073W	2	2	2
sce:YER052C	1	5	2
sce:YMR006C	6	2	3
sce:YPL214C	2	3	4
sce:YDR353W	3	3	2
sce:YDL045C	1	1	2
sce:YOL140W	2	2	3
sce:YBR159W	2	3	5
sce:YEL070W	0	1	2
sce:YEL070W	0	1	2
sce:YJL130C	4	6	6
sce:YJR007W	8	2	3
sce:YMR043W	5	6	10
sce:YCL018W	1	2	3
sce:YDL185W	5	7	6
sce:YOR061W	8	12	3
sce:YPR165W	17	18	3
sce:YKL211C	2	2	2
